code,product_name,brands,categories,labels,energy_efficiency_class:eu,repairability_class:eu,repairability_index:eu,consumer_electronics:battery_capacity:mah,consumer_electronics:initial_operating_system,ingress_protection_rating:ip:number,repeated_free_fall_reliability_class:eu,ec_energy_label:url,ec_energy_label:svg_url,release_date
eprel_2259410,vivo,vivo,Android smartphones,"eu:energy-labelling, eu:energy-class-b, eu:repairability-class-c",B,C,2.99,5200,ANDROID,68,C,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2259410?navigatingfrom=qr,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2259410.svg,2025-06-05
eprel_2384172,OUKITEL,OUKITEL,Android smartphones,"eu:energy-labelling, eu:energy-class-a, eu:repairability-class-b",A,B,3.47,5150,ANDROID,54,A,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2384172?navigatingfrom=qr,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2384172.svg,2025-06-10
eprel_2374820,HAMMER,HAMMER,Android smartphones,"eu:energy-labelling, eu:energy-class-c, eu:repairability-class-b",C,B,3.48,6000,ANDROID,68,A,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2374820?navigatingfrom=qr,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2374820.svg,2022-10-11
eprel_2398244,realme,realme,Android smartphones,"eu:energy-labelling, eu:energy-class-a, eu:repairability-class-b",A,B,3.37,5000,ANDROID,44,A,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2398244?navigatingfrom=qr,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2398244.svg,2025-06-25
eprel_2371500,TCL,TCL,Android smartphones,"eu:energy-labelling, eu:energy-class-b, eu:repairability-class-b",B,B,3.44,4900,ANDROID,54,B,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2371500?navigatingfrom=qr,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2371500.svg,2025-05-26
eprel_2208427,motorola,motorola,Android smartphones,"eu:energy-labelling, eu:energy-class-a, eu:repairability-class-b",A,B,3.39,5100,ANDROID,54,B,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2208427?navigatingfrom=qr,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2208427.svg,2024-12-29
eprel_2238053,HMD,HMD,Android smartphones,"eu:energy-labelling, eu:energy-class-a, eu:repairability-class-a",A,A,4.01,4500,ANDROID,54,A,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2238053?navigatingfrom=qr,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2238053.svg,2025-06-20
eprel_2327983,HONOR,HONOR,Android smartphones,"eu:energy-labelling, eu:energy-class-a, eu:repairability-class-b",A,B,3.61,5170,ANDROID,68,A,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2327983?navigatingfrom=qr,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2327983.svg,2025-05-19
eprel_2245892,OPPO,OPPO,Android smartphones,"eu:energy-labelling, eu:energy-class-b, eu:repairability-class-b",B,B,3.81,5640,ANDROID,68,A,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2245892?navigatingfrom=qr,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2245892.svg,2025-05-05
eprel_2342204,DORO,DORO,Android smartphones,"eu:energy-labelling, eu:energy-class-c, eu:repairability-class-b",C,B,3.71,3000,ANDROID,54,A,https://eprel.ec.europa.eu/screen/product/smartphonestablets20231669/2342204?navigatingfrom=qr,https://eprel.ec.europa.eu/labels/smartphonestablets20231669/Label_2342204.svg,2025-05-20
